num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
8,213773,"",13.4457,178838,178838,PP
8,213732,"",13.5362,178838,178838,PP
8,213662,"",13.619,178838,178838,PP
8,213650,"",13.7042,178838,178838,PP
8,213637,"",13.7865,178838,178838,PP
8,213614,"",13.8761,178838,178838,PP
8,213341,"",13.9594,178838,178838,PP
8,213330,"",14.046,178838,178838,PP
8,213251,"",14.125,178838,178838,PP
8,213248,"",14.2008,178838,178838,PP
8,213211,"",14.2899,178838,178838,PP
8,213000,"",14.3838,178838,178838,PP
8,213000,"",14.4732,178838,178838,PP
8,212997,"",14.5709,178838,178838,PP
8,212997,"",14.6565,178838,178838,PP
8,212703,"",14.7407,178838,178838,PP
8,212642,"",14.8274,178838,178838,PP
8,212603,"",14.909,178838,178838,PP
8,212603,"",15.0064,178838,178838,PP
8,212406,"",15.0913,178838,178838,PP
8,212302,"",15.1861,178838,178838,PP
8,212251,"",15.2783,178838,178838,PP
8,212045,"",15.359,178838,178838,PP
8,212045,"",15.4469,178838,178838,PP
8,211994,"",15.5347,178838,178838,PP
8,211928,"",15.6251,178838,178838,PP
8,211848,"",15.7162,178838,178838,PP
8,211720,"",15.7924,178838,178838,PP
8,211486,"",15.8685,178838,178838,PP
8,211466,"",15.955,178838,178838,PP
8,211425,"",16.0464,178838,178838,PP
8,211416,"",16.131,178838,178838,PP
8,211177,"",16.2098,178838,178838,PP
8,211176,"",16.2899,178838,178838,PP
8,211132,"",16.3687,178838,178838,PP
8,211132,"",16.4514,178838,178838,PP
8,211045,"",16.5299,178838,178838,PP
8,210801,"",16.6159,178838,178838,PP
8,210682,"",16.7005,178838,178838,PP
8,210673,"",16.7815,178838,178838,PP
8,210673,"",16.866,178838,178838,PP
8,210605,"",16.9431,178838,178838,PP
8,210347,"",17.0256,178838,178838,PP
8,210306,"",17.109,178838,178838,PP
8,210226,"",17.2056,178838,178838,PP
8,210172,"",17.2977,178838,178838,PP
8,210103,"",17.375,178838,178838,PP
8,209921,"",17.4575,178838,178838,PP
9,209920,"",17.5405,178838,178838,PP
8,209819,"",17.6247,178838,178838,PP
8,209738,"",17.7139,178838,178838,PP
8,209632,"",17.7977,178838,178838,PP
8,209576,"",17.8849,178838,178838,PP
8,209542,"",17.9857,178838,178838,PP
8,209387,"",18.0659,178838,178838,PP
9,209377,"",18.1569,178838,178838,PP
8,209265,"",18.2516,178838,178838,PP
8,208948,"",18.3413,178838,178838,PP
8,208792,"",18.4223,178838,178838,PP
8,208773,"",18.5044,178838,178838,PP
8,208557,"",18.6196,178838,178838,PP
9,208523,"",18.6999,178838,178838,PP
8,208460,"",18.7999,178838,178838,PP
8,208433,"",18.9032,178838,178838,PP
8,208418,"",18.9854,178838,178838,PP
8,208199,"",19.0871,178838,178838,PP
8,208130,"",19.1691,178838,178838,PP
8,208108,"",19.2511,178838,178838,PP
8,208045,"",19.3306,178838,178838,PP
8,207922,"",19.4077,178838,178838,PP
8,207922,"",19.4863,178838,178838,PP
8,207922,"",19.6025,178838,178838,PP
8,207785,"",19.6831,178838,178838,PP
8,207760,"",19.7651,178838,178838,PP
8,207681,"",19.8424,178838,178838,PP
8,207679,"",19.9324,178838,178838,PP
8,207654,"",20.011,178838,178838,PP
8,207654,"",20.0903,178838,178838,PP
8,207574,"",20.2004,178838,178838,PP
8,207569,"",20.2777,178838,178838,PP
8,207568,"",20.3543,178838,178838,PP
8,207472,"",20.4634,178838,178838,PP
8,207357,"",20.5448,178838,178838,PP
8,207296,"",20.6273,178838,178838,PP
8,207175,"",20.7167,178838,178838,PP
8,207175,"",20.7992,178838,178838,PP
8,207141,"",20.8813,178838,178838,PP
8,207141,"",20.9627,178838,178838,PP
8,207137,"",21.0379,178838,178838,PP
8,207137,"",21.1155,178838,178838,PP
8,207065,"",21.1942,178838,178838,PP
8,207003,"",21.2751,178838,178838,PP
8,206960,"",21.3664,178838,178838,PP
8,206930,"",21.446,178838,178838,PP
8,206930,"",21.5336,178838,178838,PP
8,206930,"",21.6142,178838,178838,PP
8,206930,"",21.7052,178838,178838,PP
8,206745,"",21.7803,178838,178838,PP
8,206695,"",21.8633,178838,178838,PP
8,206663,"",21.9502,178838,178838,PP
8,206622,"",22.0289,178838,178838,PP
8,206379,"",22.115,178838,178838,PP
8,206275,"",22.1966,178838,178838,PP
8,206255,"",22.28,178838,178838,PP
8,206235,"",22.3604,178838,178838,PP
8,206230,"",22.4443,178838,178838,PP
8,206223,"",22.5267,178838,178838,PP
8,206046,"",22.6186,178838,178838,PP
8,206046,"",22.6954,178838,178838,PP
8,205954,"",22.7727,178838,178838,PP
8,205789,"",22.8535,178838,178838,PP
8,205679,"",22.9454,178838,178838,PP
